display			vt.陈列，展览；显示
disposal			n.丢掉，处理，销毁
dispose			vi.去掉，丢掉；销毁
dispute			vi.争论，争执 n.争论
dissolve			vt.使溶解；解散
distant			a.在远处的，疏远的
distress			n.忧虑，悲伤；不幸
distribute			vt.分发，分送；分布
distribution			n.分发/配；分布
district			n.区；地区，区域
disturb			vt.打扰，扰乱；弄乱
diverse			a.不一样的，相异的
divide			vt.分；分配；分开
division			n.分，分配；除法
divorce			n.离婚，离异 vi.离婚
document			n.公文，文件；证件
domestic			a.本国的；家庭的
durable			a.耐久的，耐用的
duration			n.持续，持久
dynamic			a.有活力的；动力的
economic			a.经济的，经济学的
economical			a.节约的;经济学的
economy			n.经济；节约，节省
edition			n.版，版本，版次
effect			n.结果；效果，效力
effective			a.有效的；有影响的
efficiency			n.效率；功效，效能
efficient			a.效率高的，有能力的
effort			n.努力；努力的成果
elaborate			a.复杂的；精心制作的
elect			vt.选举，推选；选择
election			n.选举，选择权；当选
elevator			n.电梯；升降机
emerge			vi.出现，涌现；冒出
emergency			n.紧急情况，突然事件
emit			vt.散发；发射；发表
emotion			n.情感，感情；激动
employ			vi.雇用；用；使忙于
employment			n.工业；雇/使用
enclose			vt.围住，圈起；附上
endure			vt.忍受；容忍
enforce			vt.实施，执行；强制
enormous			a.巨大的，庞大的
ensure			vt.保证；保护；赋予
entertain			vt.使欢乐；招待
envy			vt.&n.妒忌；羡慕
equal			a.相等的；平等的
equality			n.等同，平等；相等
equivalent	equ,val	equ(相等)+val(价值)	a.相等的；等量的
erect			vt.建造；使竖立
error			n.错误，谬误；差错
establish			vt.建立，设立；确立
evaluate			vt.评价，估…的价
event			n.事件，大事；事变
eventually			ad.终于；最后
evidence			n.根据；证据，证人
evident			a.明显的，明白的
evolution			n.进化，演化；发展
evolve			vt.使进化；使发展
exceed			vt.超过，胜过；超出
exception			n.例外，除外
excess			n.超越；过量；过度
exclaim			vi.呼喊；惊叫
exclude			vt.把…排除在外
excursion			n.远足；短途旅行
execute			vt.将…处死；实施
executive			a.执行的 n.执行者
exhibit			vt.显示；陈列，展览
exist			vi.存在；生存，生活
expand			vt.扩大；使膨胀
expect			vt.预料，预期；等待
expectation			n.期待/望，预期
expense			n.花费，消费；费用
exploit			vt.剥削；利用；开拓
export			vt.输出，出口；运走
expose			vt.使暴露；揭露
exposure			n.暴露；揭露；曝光
extend			vt.延长；扩大；致
extension			n.延长部分；伸展
extensive			a.广阔的；广泛的
extent			n.广度；范围；程度
extraordinary			a.非同寻常的，特别的
facility			n.设备；容易；便利
factor			n.因素；因子，系数
faculty			n.才能，能力；系，科
faith			n.信任，信心；信仰
fatigue			n.疲劳，劳累
feasible			a.可行的；可能的
feature			n.特征，特色；面貌
federal			a.联邦的；联盟的
fence			n.栅栏
fertile			a.肥沃的；多产的
fiction			n.小说；虚构，杜撰
figure			n.数字；外形；人物
final			a.最后的；决定性的
finance			n.财政，金融；财源
financial			a.财政的，金融的
firm			n.商行，商号，公司
flexible			a.易弯曲的；灵活的
float			vi.漂浮 vt.使漂浮
flourish			vi.繁荣，茂盛，兴旺
flow			vi.流动；飘垂；涨潮
flu			n.流行性感冒
fluent			a.流利的，流畅的
fluid			n.流体，液体
force			vt.强迫 n.力，力量
form			n.形式；形状 vt.形成
formal			a.正式的；礼仪上的
former			a.在前的 n.前者
formula			n.公式，式
found			vt.创立，创办；建立
foundation			n.基础；地基；基金
fraction			n.小部分；片断；分数
fragment			n.碎片，破片，碎块
frontier			n.边境；边疆；新领域
fund			n.资金；基金；存款
fundamental			a.基础的，基本的
general			a.总的；一般的 n.将军
generate			vt.发生；引起；生殖
generation			n.一代(人)；产生
generous			a.慷慨的；宽厚的
genius			n.天才，天赋，天资
genuine			a.真的；真正的
geometry	geo,meter	geo(土地)+meter(测量),几何源于丈量土地	n.几何，几何学
grace			n.优美，文雅；雅致
graceful			a.优美的，优雅的
gracious			a.有礼貌的；仁慈的
gradual			a.逐渐的；渐进的
graduate			n.毕业生 vi.大学毕业
grammar			n.语法；语法书
