mention			vt.&n.提及，说起
merchant			n.商人；零售商
message	miss	miss(送),是mit的变体	n.信息，消息；启示
messenger	miss	miss(送),是mit的变体	n.送信者，信使
meter			n.计量器，计，表
metre			n.米，公尺
metric			a.公制的，米制的
microcomputer	micro,put	micro(小)+put(计算),微小的计算机	n.微型计算机，微机
microphone	micro,phon	micro(小)+phon(声音),放大微小声音	n.话筒，麦克风
microscope	micro,scop	micro(小)+scop(看),看微小之物	n.显微镜
military	milit,it	milit(士兵，军事)+it(走),行军打仗	a.军事的；军人的
millimetre	metr	metr(测量),千分之一米	n.毫米
minimum			n.最小量 a.最小的
minister			n.部长，大臣；公使
minor			a.较小的；较次要的
minority			n.少数；少数民族
minus			a.负的 prep.减(去)
miracle			n.奇迹，令人惊奇的人
mirror			n.镜子 vt.反映，反射
missile			n.发射物；导弹
mission			n.使命，任务；使团
mobile			a.运动的；流动的
mode			n.方式，样式
model			n.模型；模式；模特儿
moderate			a.温和的；有节制的
modern			a.现代的，近代的
modest			a.有节制的；谦虚的
modify			vt.更改，修改；修饰
moment			n.片刻，瞬间，时刻
monitor			n.班长；监视器
monument			n.纪念碑；纪念馆
mortal			a.终有一死的；致死的
motion			n.运动；手势；提议
motivate			vt.促动；激励，激发
motive			n.动机，目的
motor			n.发动机；机动车
movement			n.动作,活动;移动
multiple	ply	multi(多)+ply(折叠),多层重叠	a.复合的；并联的
multiply	ply	multi(多)+ply(折叠),多倍增加	vt.使增加；乘
mutual			a.相互的；共同的
nationality			n.国籍；民族，族
native			a.本土的 n.本地人
naval			n.海军的，军舰的
navigation			n.航行;航海术;导航
necessity			n.必要性；必然性
negative			a.否定的；消极的
neglect			vt.忽视，忽略；疏忽
nerve			n.神经；勇敢，胆量
nervous			a.神经的；易激动的
normal			a.正常的，普通的
noun			n.名词
novel			n.小说 a.新的
number			n.数，数字；号码
numerous			a.为数众多的；许多
nurse			n.保姆；护士 vt.看护
nursery			n.托儿所；苗圃
obey			vt.顺从 vi.服从
object	ject	ob(对着)+ject(投),投向眼前之物	n.物，物体；目的
objection	ject	ob(对着)+ject(投),投出反对意见	n.反对,异议;不喜欢
objective	ject	ob(对着)+ject(投),投向客体	a.客观的；无偏见的
oblige	lig	ob(对着)+lig(捆绑),捆住即迫使	vt.迫使；施恩惠于
observation			n.注意；观察(力)
observe			vt.遵守；看到；说
obstacle			n.障碍，障碍物，妨害
obtain			vt.获得，得到，买到
obvious	vi	ob(对着)+vi(路),就在路上	a.明显的，显而易见的
occasion			n.场合，时刻；时机
occasional			a.偶然的；临时的
occupation			n.占领/据；职业
occupy			vt.占领；占，占有
occur			vi.发生；出现，存在
occurrence			n.发生，出现；事件
offend			vt.冒犯 vi.犯过错
offer			vt.提供；提出 n.提供
office			n.办公室；处，局，社
officer			n.官员；干事；军官
official			a.官员的；官方的
omit			vt.省略，省去；遗漏
opera			n.歌剧
operate			vi.操作；施行手术
operation			n.操作；手术；运算
operational			a.操作上的；可使用的
opinion			n.意见，看法，主张
opponent			n.对手,敌手;对抗者
opportunity			n.机会，良机
oppose			vt.反对；反抗
opposite			a.对面的 n.对立物
optical			a.眼的；光学的
optimistic			a.乐观/乐观主义的
option			n.选择，选择权
optional			a.可以任意选择的
oral			a.口头的；口的
ordinary			a.平常的；平凡的
origin			n.起源，由来；出身
original			a.最初的；新颖的
pacific			a.和平的 n.太平洋
paragraph			n.(文章的)段，节
parallel	par,alter	par(并列)+alter(其他),彼此并列相似	a.平行的；相同的
parcel			n.包裹，小包，邮包
pardon			n.原谅；赦免 vt.原谅
parent			n.父亲，母亲，双亲
parliament			n.议会，国会
partial			a.部分的；不公平的
participate	part,cap	part(部分)+cap(拿),拿一份即参与	vi.参与/加；分享
particle			n.粒子，微粒
particular			a.特殊的；特定的
particularly			ad.特别,尤其,格外
partner			n.伙伴；搭挡；配偶
party			n.党，党派；聚会
passion			n.激情，热情；爱好
passive			a.被动的；消极的
patience			n.忍耐，容忍，耐心
patient			a.忍耐的 n.病人
pattern			n.型，式样，模，模型
peace			n.和平；和睦；平静
penetrate			vt.穿过 vi.穿入
peninsula	pen,insul	pen(几乎)+insul(岛),几乎是岛	n.半岛
pension			n.抚恤金，年金
perceive	ceiv	per(完全)+ceiv(抓),抓住即察觉	vt.察觉，发觉；理解
percent	cent	per(每)+cent(百),每一百	n.百分之…
percentage			n.百分比，百分率
perfect			a.完美的；完全的
perform			vt.履行，执行；演出
performance			n.履行；演出；行为
permission	miss	miss(送),是mit的变体	n.允许，许可，同意
permit	mit	mit(送),miss是mit的变体	vt.允许 n.执照
persist			vi.坚持，固执；持续
perspective			n.透视;远景;观点
philosophy	phil,soph	phil(爱)+soph(智慧)	n.哲学；哲理；人生观
phone			n.电话，电话机；耳机
