subsequent			a. 随后的，后来的
substance			n. 物质；实质；主旨
substantial			a. 大量的；实质的；坚固的
substitute			代用品；代替者；替代
subtract			vt. 减去，减
suburb			n. 郊区，市郊
succeed			vi. 成功
succession			n. 连续，接续；一系列；（王位等的）继承
successive			a. 连续的，接连的
sufficient			a. 足够的，充分的
suicide			n. 自杀；自杀者
summon			vt. 召唤；召集；鼓起（勇气）
superstition			n. 迷信，迷信行为
supervise			vt. 监督，管理；指导
supplement			n. 补充物；增刊 vt. 补充
surplus			n. 剩余，盈余；adj. 过剩的，剩余的
surrender			vi. 投降；屈服 vt. 交出，放弃
surroundings			n. 环境，周围的事物
survey			n. 调查；测量；审视；纵览；vt. 调查；勘测；俯瞰；vi. 测量土地
survival			n. 生存，幸存
survive			vi. 幸存；活下来；vt. 幸存；生还；幸免于；比...活得长
suspect			嫌疑犯；可疑的；不可信的；怀疑；猜想
suspend			vt. 悬挂；暂停；使暂时停职
suspense			n. 悬念，悬疑；焦虑，担心
suspicion			n. 怀疑，猜疑
suspicious			a. 可疑的；多疑的，怀疑的
sustain			vt. 维持；支撑；承受
sustainable			a. 可持续的；能维持的
symmetry	syn,meter	syn(共同)+meter(测量)；两边量得一致即对称	n. 对称（性）；匀称
sympathetic	syn,pass	syn(共同)+pass(感受)；有同感就会同情	a. 同情的；赞同的
sympathy	syn,pass	syn(共同)+pass(感受)；同感即同情	n. 同情；慰问；赞同
symphony	syn,phon	syn(共同)+phon(声音)；众声同响即交响	n. 交响乐，交响曲
synonym	syn,nom	syn(共同)+nom(名字)；名字相同即同义	n. 同义词
system	syn,sist	syn(共同)+sist(站立)；各部分合立成系统	n. 制度，体制；系统；方法
systematic	syn,sist	syn(共同)+sist(站立)；成体系即系统的	adj. 系统的，有条理的；有系统的
tactic			n. 策略，战术
technical			a.技术的，工艺的
technique			n. 技术，技巧，手法
technology	techn,log	techn(技术)+log(学科)；技术之学即工艺	n. 技术
temper			n. 脾气；心情；vt. 使缓和
temperature			n. 温度
temporary			a.暂时的，临时的
tend			vt.照管，照料，护理；vi.走向，趋向;倾向
tendency			n.趋向，趋势，倾向
tense			n.时态，时；a.拉紧的，绷紧的
tension			n.紧张,不安,拉紧,张力
term			n. 学期;术语;条款;项
terminal			a.末端的n.末端
terminate			vt. 终止，结束
territory			n.领土，版图;领域
testify			v. 作证；证明；表明
testimony			n. 证词；证据；证明
textile			n.纺织品a.纺织的
texture			n. 质地；纹理；口感
thermal			a. 热的；热量的；保暖的
thermometer	therm,meter	therm(热)+meter(测量)；量热的仪器即温度计	n.温度计，寒暑表
tone			n.音;腔调;声调
torture			n.拷问;折磨vt.拷打
trace			n.痕迹;丝毫vt.跟踪
tract			n. 地带；（宣传用）小册子
trait			n. 特征；特点
transaction			n. 交易；业务
transcript			n. 成绩单；抄本
transfer			vt.转移;调动vi.转移
transform			vt.改变;改造;变换
transit			n. 运输，运送；通行
transition			n. 过渡；转变
translate			vt. 翻译
transmit			vt.传送，传达;发射
transparent			a.透明的;易识破的
transport			vt.运输n.运输
triangle			n.三角(形)
tribute			n. 致敬；贡品
triple			a. 三倍的；三重的
tuition			n. 学费；讲授
tune			n.调子;和谐vt.调谐
umbrella			n. 雨伞
unconscious			a.不省人事的
undergraduate			n.大学在校生
unexpected			a.想不到的，意外的
unfold			vt. 展开，打开；展现，表明
uniform			a.一样的n.制服
unite			vi.联合vt.使联合
universal			a.宇宙的;普遍的
universe			n. 宇宙
urban			a.都市的,住在都市的
urgent			a.紧急的;强求的
usage			n.使用，对待;惯用法
use			vt. 利用,使用,应用 n. [juːs] 用法,应用,运用
usual			a. 通常的，平常的
utility			n.效用，有用，实用
utilize			vt.利用
vacancy			n. 空缺；空职；空白
vacant			a.空的;未被占用的
vacuum			n.真空;真空吸尘器
vain			a.徒劳的;自负的
valid			a.有效的;正当的
validate			vt. 证实；使生效
vanish			vi.突然不见，消失
venture			n.&vi.冒险vt.敢于
verbal			a. 言语的，口头的；动词的
verify			vt.证实，查证;证明
verse			n. 诗，诗节；韵文
version			n.译文;说法;改写本
vertical			a.垂直的，竖式的
via			prep.经过;通过
visible			a.可见的，看得见的
vision			n.视;想象力;梦幻
visual			a.看的;看得见的
vital			a.生命的;有生命力的
vivid			a.鲜艳的;生动的
vocabulary			n. 词汇；词汇量
vocal			a. 嗓音的，发声的；直言的
volume			n.卷，册;容积;音量
voluntary			a.自愿的，志愿的
volunteer			n.志愿者 v. 自愿做某事
voucher			n. 代金券；凭单；凭证
voyage			n.&vi.航海，航空
width			n.宽阔，广阔;宽度
willing			a.愿意的，心甘情愿的
wisdom			n. 智慧；明智
withdraw			vt.收回;撤回vi.撤退
withstand			vt.抵挡，反抗
worth			a.值…的n.价值
worthy			a.有价值的;值得的
write			(wrote, written) v. 写，书写；写作，著述
writing			n. 写作；著作
yearly			a.每年的ad.一年一度
