comprise	prehend			vt.包含，包括；构成
compromise	mit			n.妥协，和解
concept	cap			n.概念，观念，设想
concern	cern			n.关心，挂念；关系
conclude	clud			vt.推断出；结束
conclusion	clud			n.结论，推论；结尾
concrete	creas			n.混凝土；具体物
condemn	dam			vt.谴责，指责；判刑
condition	dic			n.状况，状态；环境
conduct	duc			n.举止，行为；指导
conference	fer			n.会议，讨论会
confidence	fid			n.信任；信赖；信心
confident	fid			n.确信的，自信的
confine	fin			vt.限制；禁闭
confirm	firm			vt.证实，肯定；批准
confuse	fus			vt.使混乱，混淆
congratulate	grat			vt.祝贺,向…道喜
congress	grad			n.大会；国会，议会
conjunction	junct			n.接合,连接(词)
connect	nect			vt.连接，连结；联系
conquer	quir			vt.征服，战胜；破除
conscience	sci			n.良心，道德心
conscious	sci			a.意识到的；有意的
consent	sens			n.同意，赞成 vi.同意
consequence	sequ			n.结果，后果
conservation	serv			n.保存，保护；守恒
conservative	serv			a.保守的 n.保守的人
consist	sist			vi.由…组成；在于
consistent	sist			a.坚持的，一贯的
constant	sist			a.经常的；永恒的
constitution	sist			n.章程;体质;构造
construct	stru			vt.建造；建设；构筑
consume	sum			vt.消耗，消费；消灭
consumption	sum			n.消耗量；消耗
contact	tach			vt.使接触；与…联系
contain	tain			vt.包含，容纳；等于
contemporary	temp			a.当代的，同时代的
content	tain			n.内容，目录；容量
contest	test			vt.争夺，争取；辩驳
continent	tain			n.大陆；陆地；洲
continual	tain			a.不断的；连续的
continue	tain			vt.继续，连续；延伸
continuous	tain			a.连续不断的，持续的
contract	tract			n.契约，合同；婚约
contradiction	dic			n.矛盾，不一致；否认
contribute	trib			vt.捐献，捐助；投稿
convenience	ven			n.便利,方便；厕所
convention	ven			n.习俗，惯例；公约
conventional	ven			a.普通的；习惯的
conversely	vert			ad.相反地
convert	vert			vt.使转变；使改变
convey	vi			vt.传送；运送；传播
convince	vinc			vt.使确信，使信服
cooperate	oper			vi.合作，协作；配合
coordinate	ord			vt.使协调，调节
corporation	corp			n.公司，企业；社团
correct	reg			a.正确的 vt.纠正
corridor	cur			n.走廊，回廊，通路
courage	cor			n.勇气，胆量，胆识
create	creas			vt.创造；引起，产生
creature	creas			n.生物，动物，家畜
credit	cred			n.信用贷款；信用
crime	cern			n.罪，罪行；犯罪
criminal	cern			n.犯人，罪犯，刑事犯
crisis	cern			n.危机；存亡之际
critic	cern			n.批评家，爱挑剔的人
critical	cern			a.决定性的；批评的
criticism	cern			n.批评；批判；评论
criticize	cern			vt.批评；评论；非难
cure	cur			vt.医治；消除 n.治愈
curiosity	cur			n.好奇，好奇心；珍品
curious	cur			a.好奇的；稀奇古怪的
current	cur			a.当前的；通用的
cycle	circ			n 自行车，循环
damage	dam			vt.损害，毁坏 n.损害
data	don			n.数据; 资料
decay	cad			vi.腐烂；衰败 n.腐烂
deceive	cap			vt.欺骗，蒙蔽，行骗
decide	cid			vt.决定，决心；解决
decision	cid			n.决定，决心；果断
declare	clar			vt.断言；声明；表明
decrease	creas			vi.&n.减少，减少
deduce	duc			vt.演绎，推论，推断
defeat	fac			vt.战胜，击败；挫败
defect	fac			n.缺点，缺陷，欠缺
defend	fend			vt.保卫，防守
define	fin			vt.给…下定义；限定
definite	fin			a.明确的；肯定的
definitely	fin			ad.一定地，明确地
definition	fin			n.定义，释义；定界
delegation	lect			n.代表团
deliver	liber			vt.投递，送交；发表
demand	mand			vt.要求；需要；询问
democracy	dem	dem,crat	dem(人民)+crat(统治)，人民做主	n.民主，民主制
democratic	dem	dem,crat	dem(人民)+crat(统治)，人民当家	a.民主的，民主政体的
demonstrate	mon			vt.说明;论证;表露
deny	neg			vt.否定；拒绝相信
depart	part			vi.离开，起程；出发
department	part			n.部,司,局,处,系
departure	part			n.离开，出发，起程
depend	pend			vi.依靠，依赖；相信
deposit	pon			vt.使沉淀；存放
describe	scrib			vt.形容；描写，描绘
deserve	serv			vt.应受，值得
design	sign			vt.设计 n.设计；图样
despair	sper			n.绝望 vi.绝望
desperate	sper			a.拼死的；绝望的
despise	spec			vt.鄙视，蔑视
despite	spec			prep.不管，不顾
destination	sist			n.目的地,终点；目标
destroy	stru			vt.破坏；消灭；打破
destruction	stru			n.破坏，毁灭，消灭
detect	tect			vt.察觉，发觉；侦察
determination	termin			n.决心/定;确定
determine	termin			vt.决定；查明；决心
device	divid			n.器械，装置；设计
devise	divid			vt.设计，发明
diagram	graph			n.图解，图表，简图
dialect	lect			n.方言，土语，地方话
dictate	dic			vt.&vi.口授；命令
differ	fer			vi.不同，相异
diligent	lect			a.勤勉的，勤奋的
dimension	meter			n.尺寸，尺度；面积
disadvantage	vant			n.不利(地位)
disappoint	punct			vt.使失望，使受挫折
disaster	astro			n.灾难，灾祸；天灾
disclose	clud			vt.揭开，揭发；透露
discourage	cor			vt.使泄气，使灰心
dismiss	mit			vt.不再考虑；解雇
disorder	ord			n.混乱，杂乱；骚乱
