punishment	2	pen	n.罚，惩罚，处罚
puppet	2		n.木偶，玩偶；傀儡
purchase	1		n.买，购买 vt.买
purify	1		vt.使纯净，使洁净
purity	1		n.纯净；纯洁；纯度
purpose	2	pon	n.目的；意图；效果
purse	2		n.钱包，小钱袋，手袋
pursue	1	sequ	vt.追赶，追踪；进行
pursuit	1	sequ	n.追赶；追求；事务
puzzle	2		n.难题；谜 vi.使迷惑
qualify	1		vt.使具有资格
quality	2		n.质量；品质，特性
quantity	2		n.量，数量，分量
quarrel	2		n.争吵，吵架，口角
quart	2		n.夸脱(=2 品脱)
quarterly	1		a.季度的 ad.季度地
queer	1		a.奇怪的，古怪的
queue	1		n.行列 vi.排队等候
quicken	2		vt.加快 vi.加快
quilt	2		n.被(子)
quit	2		vt.离开，退出；停止
quiz	2		n.小型考试，测验
quotation	1		n.引用；引文；报价单
quote	2		vt.引用，引证；报价
racial	1		a.种族的，人种的
rack	2		n.搁物架；行李架
racket	2		n.球拍
radar	2		n.雷达，无线电探测器
radiate	1		vi.发射光线；辐射
radiation	1		n.放/发射；辐射能
radioactive	1	act	a.放射性的
radioactivity	1	act	n.放射性，放射(现象)
radish	2		n.小萝卜
radium	1		n.镭
radius	1		n.半径
rag	2		n.破布，碎布，抹布
rage	1		n.(一阵)狂怒，盛怒
raid	1		n.袭击；突然搜查
rail	2		n.横条，横杆；铁轨
railroad	2		n.铁路 vi.由铁路运输
railway	2		n.铁路，铁道
raise	2		vt.举起；引起；提高
rake	2		n.耙子 vi.耙；搜索
range	2		n.排，行；山脉；范围
rank	2		n.排，横行；社会阶层
rapid	2		a.快的 n.急流
rapidly	2		ad.迅速地
rare	2		a.稀薄的；稀有的
rarely	2		ad.很少，难得
rate	2		n.比率；速度；价格
rather	2		ad.宁可，宁愿；相当
ratio	1		n.比，比率
rational	1		a.理性的；出于理性的
raw	2		a.未煮过的；未加工的
ray	2		n.光线，射线，辐射线
razor	2		n.剃刀
react	2	act	vi.起反应；有影响
reaction	2	act	n.反应；反作用
readily	1		ad.乐意地；无困难地
reality	2		n.现实；真实
realize	2		vt.实现；认识到
realm	1		n.王国，国土；领域
reap	1		vt.&vi.收割，收获
rear	1		n.后部，后面；背面
reasonable	2		a.合情合理的；公道的
rebel	1		vi.造反 n.造反者
rebellion	1		n.造反；叛乱；反抗
recall	2		vt.回想；叫回；收回
receipt	1	cap	n.收到；收条，收据
receive	2	cap	vt.收到；得到；接待
receiver	2	cap	n.收受者，收件人
recent	2		a.新近的，最近的
recently	2		ad.最近，新近
reception	1	cap	a.接待；招待会；接受
recite	1	cit	vt.&vi.背诵，朗诵
recognition	1	cogn	n.认出，识别；承认
recognize	2	cogn	vt.认识，认出；承认
recollect	1	lect	vt.回忆，追忆，想起
recommend	2		vt.推荐，介绍；劝告
recommendation	1		n.推荐，介绍；劝告
record	2		n.记录；履历 vt.记录
recorder	1		n.记录者；录音机
recover	2		vt.重新获得；挽回
recovery	1		n.重获；痊愈，恢复
reduce	2	duc	vt.减少，减小；简化
reduction	1	duc	n.减少，减小，缩减
reed	1		n.芦苇，芦杆，芦丛
reel	1		n.卷轴，卷筒
refer	2	fer	vt.使求助于 vi.谈到
reference	1	fer	n.参考；出处；提及
refine	1	fin	vt.&vi.精炼，提纯
reflect	2	flect	vt.反射；反映；思考
reflection	1	flect	n.反射；映象；反映
reflexion	1	flect	n.反射；映象；反映
reform	1	form	vt.&n.改革，改良
refresh	1		vt.使清新 vi.恢复精神
refreshment	1		n.茶点，点心，便餐
refrigerator	2		n.冰箱，冷藏库
refuge	1	fug	n.避难，庇护；庇护者
refusal	1	fus	n.拒绝
refuse	2	fus	vt.拒绝 vt.拒绝
refute	1		vt.驳斥，反驳，驳倒
regard	2		vt.把…看作；尊敬
regarding	1		prep.关于
regardless	1		ad.不顾一切地
region	2	reg	n.地区，地带；领域
register	1		n.&vt.登记，注册
regret	2		vt.懊悔；抱歉 n.懊悔
regular	2	reg	a.规则的；整齐的
regularly	2	reg	ad.有规律地
regulate	1	reg	vt.管理，控制；调整
regulation	1	reg	n.规则/章；管理
rehearsal	1		n.排练，排演；练习
reign	1	reg	n.君主统治；支配
rein	1		n.缰绳 vi.驾驭，控制
reinforce	1	fort	vt.增援，支援；加强
reject	2	ject	vt.拒绝；丢掉；驳回
rejoice	1		vi.欣喜，高兴
relate	2		vt.叙述；使联系
relation	2		n.关系，联系；家属
relationship	2		n.关系，联系
relative	2		a.有关系的；相对的
relatively	1		ad.相对地，比较地
relativity	1		n.相关性；相对性
relax	2		vt.使松弛 vi.松弛
release	2		vt.释放；放松；发表
relevant	1	lev	a.有关的，贴切的
reliability	1		n.可靠性
reliable	1		a.可靠的，可信赖的
reliance	1		n.信任，信赖，信心
relief	1	lev	n.减轻；救济；援救
relieve	1	lev	vt.减轻，解除；救济
religion	2		n.宗教；宗教信仰
religious	2		a.宗教的；虔诚的
reluctant	1		a.不愿的，勉强的
rely	2		vi.依赖，依靠；信赖
remain	2		vi.剩下，余留；保持
remains	2		n.残余，余额；废墟
remark	1		vt.&vi.&n.评论，谈论
remarkable	1		a.异常的，非凡的
