satisfaction	2	fac	n.满意；快事；赔偿
satisfactory	1	fac	a.令人满意的,良好的
satisfy	2	fac	vt.满足；使满意
sauce	2		n.调味汁，酱汁
saucer	1		n.茶托，浅碟
sausage	1		n.香肠，腊肠
saving	2		n.搭救；节约；存款
scale	2		n.天平，磅秤，秤
scan	2		vt.细看；浏览；扫描
scar	1		n.伤疤，伤痕；创伤
scarce	1		a.缺乏的；希有的
scarcely	1		ad.仅仅；几乎不
scare	2		vt.惊吓 vi.受惊
scarf	2		n.围巾，头巾；领带
scatter	1		vt.使消散；撒；散播
scene	2		n.发生地点；道具
scenery	1		n.舞台布景；风景
scent	1	sens	n.气味，香味；香水
schedule	2		n.时间表；计划表
scheme	1		n.计划，规划；诡计
scholar	2		n.学者(尤指文学方面)
scholarship	2		n.学业成绩；奖学金
scientific	2	sci	a.科学(上)的
scissors	2		n.剪刀，剪子
scold	1		vi.责骂 vt.申斥
scope	2	scop	n.范围；余地，机会
scorn	1		n.轻蔑；嘲笑 vt.轻蔑
scout	1		n.侦察员，侦察机
scrape	1		vt.&vi.&n.刮，擦
scratch	2		vt.&vi.&n.搔；抓
scream	2		vi.尖叫；呼啸
screen	2		n.屏；屏幕 vt.掩蔽
screw	1		n.螺旋，螺丝 vt.拧紧
seal	2		n.封蜡；印记 vt.封
seaman	1		n.海员，水手；水兵
seaport	1		n.海港，港市
search	2		vt.在…中搜寻，搜查
secondary	2	sequ	a.第二的；次要的
secondly	2	sequ	ad.第二(点)；其次
secretary	2	cern	n.秘书；书记；大臣
section	2	sec	n.切片；一段；部门
secure	2	cur	a.安心的；安全的
security	2	cur	n.安全，安全感
seek	2		vt.寻找，探索；试图
seize	1		vt.抓住，逮捕；夺取
seldom	2		ad.很少，不常，难得
select	2	lect	vt.&vi.选择，挑选
selection	2	lect	n.选择，挑选；精选物
selfish	2		a.自私的，利己的
seller	2		n.卖者；行销货
semester	1		n.半年；学期，半学年
semiconductor	1	duc	n.半导体
senate	1		n.参议院，上院
senior	1		a.年少的；地位较高的
sense	2	sens	n.感官；感觉；见识
sensible	1	sens	a.感觉得到的；明智的
sensitive	2	sens	a.敏感的；灵敏的
separate	2	par	a.分离的；个别的
separately	2	par	ad.分离地
separation	2	par	n.分离，分开/居
sequence	1	sequ	n.连续，继续；次序
series	2		n.连续，系列；丛书
servant	1	serv	n.仆人，佣人，雇工
session	1	sed	n.会议，一段时间
setting	2		n.安装，调整；环境
settle	2		vt.安排；安放；调停
settlement	1		n.解决；殖民(地)
severe	1		a.严格的；严厉的
severely	2		ad.严厉地，严格地
sew	2		vt.缝制 vi.缝
