citizen	2	civ	n.公民；市民，居民
civil	2	civ	a.公民的；文职的
civilization	2	civ	n.文明，文化；开化
civilize	2	civ	vt.使文明；教育
claim	1	claim	vt.声称，主张；索取
clap	2		vi.拍手 vt.拍，轻拍
clarify	1	clar	vt.澄清，阐明
clasp	2		n.扣子，钩子；别针
classical	2		a.古典的；经典的
classification	1		n.分类/级;分类法
classify	1		vt.把…分类
clerk	2		n.店员；办事员，职员
cliff	2		n.悬崖，峭壁
climate	2		n.气候；风土，地带
cloak	2		n.斗篷；覆盖(物)
clothe	2		vt.给…穿衣服
clue	2		n.线索，暗示，提示
clumsy	2		a.笨拙的；愚笨的
coach	2		n.长途公共汽车
coarse	2		a.粗的，粗糙的
coast	2		n.海岸，海滨(地区)
code	2		n.准则；法典；代码
coil	2		n.(一)卷；线圈 vt.卷
coin	2		n.硬币；铸造(硬币)
collapse	1		vi.倒坍；崩溃，瓦解
collar	2		n.衣领，项圈
colleague	1		n.同事，同僚
collect	2	lect	vt.收集 vi.收款
collection	2	lect	n.搜集，收集；收藏品
collective	1	lect	a.集体的；集合性的
college	2		n.学院；大学
collision	1		n.碰撞；冲突
colonel	2		n.陆军上校；中校
colony	1		n.殖民地；侨居地
column	1		n.柱，支柱，圆柱
combination	1		n.结合,联合;化合
combine	2		vt.使结合；兼有
comfort	2	fort	n.舒适；安慰 vt.安慰
comfortable	2	fort	a.舒适的，安慰的
command	2		vt.命令，指挥；控制
commander	1		n.司令官，指挥员
comment	2	ment	n.评论，意见；注释
commerce	1		n.商业，贸易；社交
commercial	1		a.商业的；商品化的
commission	1	mit	n.委任状；委员会
commit	1	mit	vt.犯(错误);干(坏事)
committee	2	mit	n.委员会；全体委员
commonly	2		ad.普通地，一般地
communicate	2		vi.通讯;传达;传播
communication	2		n.通讯;传达；交通
communism	1		n.共产主义
communist	1		n.共产党员
community	2		n.社区；社会；公社
companion	1		n.同伴;共事者;伴侣
company	2		n.公司，商号；同伴
comparative	1	par	a.比较的，相对的
compare	2	par	vt.比较，对照；比作
comparison	2	par	n.比较，对照；比似
compass	1		n.罗盘，指南针；圆规
compel	1	pel	vt.强迫，迫使屈服
compete	2	pet	vi.比赛；竞争；对抗
competent	1	pet	a.有能力的；应该做的
competition	2	pet	n.竞争，比赛
compile	1		vt.编辑，编制，搜集
complain	2		vi.抱怨，拆苦；控告
complaint	1		n.抱怨；怨言；控告
complete	2	ple	a.完整的；完成的
completely	2	ple	ad.十分，完全地
complex	2	plic	a.结合的；复杂的
complicate	1	plic	vt.使复杂；使陷入
complicated	2	plic	a.复杂的，难懂的
component	1	pon	n.组成部分；分；组件
compose	1	pon	vt.组成，构成；创作
composition	1	pon	n.构成；作品；写作
compound	1	pon	n.化合物；复合词
comprehension	1	prehend	n.理解，理解力；领悟
comprehensive	1	prehend	a.广泛的；理解的
compress	1		vt.压紧，压缩
comprise	1		vt.包含，包括；构成
compromise	1		n.妥协，和解
compute	1		vt.计算，估计，估算
comrade	2		n.同志，亲密的同伴
conceal	1		vt.把…隐藏起来
concentrate	2		vt.集中；聚集；浓缩
concentration	1		n.集中;专注;浓缩
concept	2	cap	n.概念，观念，设想
concern	2	cern	n.关心，挂念；关系
concerning	1	cern	prep.关于
concert	2		n.音乐会，演奏会
conclude	2	clud	vt.推断出；结束
conclusion	2	clud	n.结论，推论；结尾
concrete	1	creas	n.混凝土；具体物
condemn	1		vt.谴责，指责；判刑
condense	1		vt.压缩，使缩短
condition	2	dic	n.状况，状态；环境
conduct	2	duc	n.举止，行为；指导
conductor	2	duc	n.售票员；(乐队)指挥
conference	1	fer	n.会议，讨论会
confess	1		vt.供认，承认；坦白
confidence	2	fid	n.信任；信赖；信心
confident	2	fid	n.确信的，自信的
confine	1	fin	vt.限制；禁闭
confirm	2	firm	vt.证实，肯定；批准
conflict	1		n.争论；冲突；斗争
confuse	2	fus	vt.使混乱，混淆
confusion	1	fus	n.混乱；骚乱；混淆
congratulate	1	grat	vt.祝贺,向…道喜
congratulation	1	grat	n.祝贺(词)
congress	1	grad	n.大会；国会，议会
conjunction	1	junct	n.接合,连接(词)
connect	2		vt.连接，连结；联系
connection	2		n.连接，联系；连贯性
conquer	1	quir	vt.征服，战胜；破除
conquest	1	quir	n.攻取，征服；克服
conscience	1	sci	n.良心，道德心
conscious	2	sci	a.意识到的；有意的
consciousness	1	sci	n.意识,觉悟;知觉
consent	1	sens	n.同意，赞成 vi.同意
consequence	2	sequ	n.结果，后果
consequently	1	sequ	ad.因此/而,所以
conservation	1	serv	n.保存，保护；守恒
conservative	1	serv	a.保守的 n.保守的人
consider	2		vt.认为；考虑；关心
considerable	1		a.相当大的;重要的
considerate	1		a.考虑周到的；体谅的
consideration	1		n.考虑，思考；体贴
consist	1	sist	vi.由…组成；在于
consistent	1	sist	a.坚持的，一贯的
constant	2	sist	a.经常的；永恒的
constitution	1	sist	n.章程;体质;构造
construct	1	stru	vt.建造；建设；构筑
construction	1	stru	n.建造;建筑(物)
consult	1		vt.请教，查阅
consume	1	sum	vt.消耗，消费；消灭
consumption	1	sum	n.消耗量；消耗
contact	2	tach	vt.使接触；与…联系
contain	2	tain	vt.包含，容纳；等于
container	1	tain	n.容器；集装箱
contemporary	1	temp	a.当代的，同时代的
contempt	1		n.轻蔑；藐视；受辱
