horsepower	1		n.马力
host	2	hosp	n.主人；东道主
hostess	2	hosp	n.女主人；空姐
hostile	1		a.敌方的；不友善的
household	2		n.家庭，户；家务
housewife	2		n.家庭主妇
human	2		a.人的，人类的 n.人
humble	1		a.谦逊的；地位低下的
humid	1		a.湿的，湿气重的
humorous	1		a.富于幽默的，诙谐的
humour	1		n.幽默，诙谐，幽默感
hunt	2		n.打猎；搜寻 vt.追猎
hut	2		n.小屋，棚屋
hydrogen	2	hydr	n.氢
ideal	2		a.理想的；观念的
identical	1	ident	a.完全相同的；同一的
identify	1	ident	vt.认出，识别，鉴定
idiom	2		n.习语，成语
idle	2		a.空闲的；懒散的
i.e	2		. [ˈaiˈiː] (=that is)那就是，即
ignorant	1	cogn	a.不知道的；无知的
ignore	1	cogn	vt.不顾，不理，忽视
illegal	1		a.不合法的，非法的
illustrate	1	luc	vt.(用图等)说明
illustration	2	luc	n.说明，图解；例证
image	2		n.像；形象；映象
imaginary	1		a.想象中的，假想的
imagination	2		n.想象(力)；空想
imagine	2		vt.想象，设想；料想
imitate	1		vt.模仿，仿效；仿制
immediate	1	med	a.立即的；直接的
immediately	2	med	ad.立即；直接地
immense	1	meter	a.巨大的；极好的
immigrant	1	migr	n.移民 a.移民的
impact	1		n.影响，作用；冲击
impatient	2	pass	a.不耐烦的，急躁的
implication	1	plic	n.含义，暗示，暗指
imply	1	plic	vt.暗示，意指
import	1	port	vt.&n.输入，进口
importance	2	port	n.重要；重要性
important	2	port	a.重要的；有势力的
impose	1	pon	vt.把…强加；征(税)
impossible	2	pot	a.不可能的，办不到的
impress	1		vt.给…深刻印象
impression	1		n.印；印象；印记
impressive	2		a.给人印象深刻的
imprison	1	prehend	vt.关押，监禁；限制
improvement	2	prob	n.改进，改善；改进处
incident	2	cad	n.发生的事；事件
incline	1		n.斜坡 vt.使倾斜
increasingly	2	creas	ad.日益，越来越多地
indefinite	1	fin	a.不明确的；不定的
independence	2	pend	n.独立,自主/立
independent	2	pend	a.独立的;自主的
index	2	dic	n.索引；指数；指标
indicate	2	dic	vt.标示，表示；表明
indication	1	dic	n.指示;表示；表明
indifferent	1	fer	a.冷漠的；不积极的
indignant	1		a.愤慨的，义愤的
indirect	2	reg	a.间接的；不坦率的
indispensable	1	pend	a.必不可少的，必需的
individual	2		a.个别的；独特的
industrial	2		a.工业的；产业的
industrialize	1		vt.使工业化
industry	2		n.工业，产业；勤劳
inefficient	1	fac	a.效率低的，无能的
inevitable	1		a.不可避免的，必然的
inexpensive	2	pend	a.花费不多的,廉价的
infant	1		n.婴儿 a.婴儿的
infect	2	fac	vt.传染；感染
infer	2	fer	vt.推论，推断；猜想
inferior	1		a.下等的；劣等的
infinite	1	fin	a.无限的；无数的
influence	2	flu	n.影响；势力 vt.影响
influential	1	flu	a.有影响的；有权势的
inform	2	form	vt.通知，向…报告
inhabit	1	hab	vt.居住于，栖息于
inhabitant	1	hab	n.居民，住户
inherit	1		vt.继承(传统等)
initial	1		a.最初的；词首的
injection	1	ject	n.注射，注入；充满
injure	2	jud	vt.伤害，损害，损伤
injury	2	jud	n.损害，伤害；受伤处
inner	2		a.内部的；内心的
innocent	2		a.清白的，幼稚的
input	2		n.输入；投入的资金
inquire	1	quir	vt.打听，询问；调查
inquiry	1	quir	n.询问，打听；调查
insect	2	sec	n.昆虫，虫
insert	1		vt.插入; 嵌入; 登载
insist	2	sist	vi.坚持；坚持要求
inspect	1	spec	vt.检查，审查；检阅
inspection	1	spec	n.检查，审查；检阅
inspire	1	spir	vt.鼓舞；给…以灵感
install	2		vt.安装，设置
installation	1		n.安装；装置；设施
instance	1	sist	n.例子，实例，事例
instant	2	sist	n.瞬间 a.立即的
instantly	2	sist	ad.立即，即刻
instinct	1		n.本能；直觉；生性
institute	1	sist	n.研究所；学院
institution	1	sist	n.协会;制度，习俗
instruct	2	stru	vt.教；指示；通知
instruction	1	stru	n.命令;教学；教训
instrument	2	stru	n.仪器;工具；乐器
insufficient	1	fac	a.不足的;不适当的
insult	2	sal	vt.&n.侮辱，凌辱
insurance	1	cur	n.保险；保险费
insure	1	cur	vt.给…保险；确保
intellectual	1	lect	n.知识分子 a.智力的
intelligence	1	lect	n.智力；理解力；情报
intelligent	2	lect	a.聪明的；理智的
intend	2	tend	vt.想要，打算；意指
intense	1	tend	a.强烈的；紧张的
intensity	1	tend	n.强烈，剧烈；强度
intensive	1	tend	a.加强的；精耕细作的
intention	2	tend	n.意图，意向，目的
intentional	1	tend	a.故意的，有意识的
interaction	1	act	n.相互作用；干扰
interfere	1	fer	vi.干涉，干预；妨碍
interference	1	fer	n.干涉,干预;阻碍
interior	1		a.内的；内地的 n.内部
intermediate	1	med	a.中间/级的
internal	1		a.内的；国内的
international	2	nat	a.国际的，世界(性)的
interpret	1		vt.解释，说明；口译
interpretation	1		n.解释；口译
interpreter	1		n.译员，口译者
interrupt	2	rupt	vt.打断，打扰；中止
interruption	1	rupt	n.中断，打断；障碍物
interval	1		n.间隔；休息；间距
interview	2	vid	n.接见；会见；面谈
intimate	1		a.亲密的；个人的
introduction	2	duc	n.介绍；引进；引言
invade	1	vad	vt.入侵，侵略；侵袭
invasion	1	vad	n.入侵，侵略；侵犯
invent	2	ven	vt.发明，创造；捏造
invention	2	ven	n.发明，创造；捏造
inventor	2	ven	n.发明者；发明家
invest	2	vest	vt.投资；投入
