pollute	2		vt.弄脏，污染，沾污
pollution	2		n.污染
popular	2	popul	a.民众的；流行的
population	2	popul	n.人口；全体居民
porch	1		n.门廊，入口处
porridge	2		n.粥，麦片粥
port	2		n.港，港口
portable	2	port	a.轻便的；手提的
porter	1	port	n.搬运工人
portion	1		n.一部分；一分
portrait	2	tract	n.消像，画像
position	2	pon	n.位置；职位；姿势
positive	2	pon	a.确定的；积极的
possess	2	pot	vt.占用，拥有(财产)
possession	2	pot	n.有，所有；占有物
possibility	2	pot	n.可能；可能的事
possible	2	pot	a.可能的；可能存在的
possibly	2	pot	ad.可能地；也许
post	2		n.柱，桩，杆 vt.贴出
postage	1		n.邮费，邮资
postpone	1	pon	vt.延迟，推迟，延缓
potential	1	pot	a.潜在的 n.潜力
pour	2		vt.灌，倒 vi.倾泻
poverty	1		n.贫穷，贫困
powder	2		n.粉末；药粉；火药
power	2	pot	n.能力；力；权；幂
powerful	2	pot	a.强有力的；有权威的
practical	2		a.实践的；实用的
practically	2		ad.实际上；几乎
practice	2		n.实践；练习；业务
practise	2		vt.练习，实习，训练
praise	2		n.赞扬，赞美 vi.赞扬
pray	2		vt.&vi.请求；祈祷
prayer	2		n.祈祷，祈求
precaution	1		n.预防；警惕
preceding	1	ced	a.在前的；在先的
precious	2		a.珍贵的，宝贵的
precise	1	cid	a.精确的，准确的
precision	1	cid	n.精确，精密，精密度
predict	1	dic	v.预言，预告，预测
preface	1		n.序言，前言，引语
prefer	2	fer	vt.宁可，宁愿
preferable	1	fer	a.更可取的，更好的
preference	2	fer	n.偏爱，优先(权)
prejudice	1	jud	n.偏见，成见
preliminary	1		a.预备的，初步的
premier	1	prim	n.总理，首相
preparation	2	par	n.准/预备；制备
prepare	2	par	vt.&vi.准备，预备
preposition	2	pon	n.前置词，介词
prescribe	1	scrib	vt.命令；处(方)
presence	1		n.出席，到场；在
present	2		a.现在的 n.目前
presently	2		ad.一会儿；目前
preserve	1	serv	vt.保护；保存；腌渍
president	1	sed	n.总统；校长；会长
press	2		vt.压，按，揿；催促
pressure	2		n.压力；压力；压，按
pretend	1	tend	vt.假托，借口 vi.假装
prevail	1	val	vi.胜，优胜；流行
prevent	2	ven	vt.预防，防止；阻止
previous	2	vi	a.先的；前的 ad.在前
previously	2	vi	ad.先前，预先
pride	2		n.骄傲；自豪 vt.自夸
priest	2		n.教士，牧师，神父
primarily	1	prim	ad.首先；主要地
primary	2	prim	a.最初的；基本的
prime	2	prim	a.首要的 n.春，青春
primitive	1	prim	a.原始的；粗糙的
prince	2	prim	n.王子，亲王
princess	2	prim	n.公主，王妃
principal	1	prim	a.主要的 n.负责人
principle	2	prim	n.原则，原理；主义
print	2		vt.印刷 n.印刷；正片
prior	1		a.在先的；优先的
prison	2	prehend	n.监狱，监禁
prisoner	2	prehend	n.囚犯
private	1	priv	a.私人的；私下的
privilege	1	priv	n.特权，优惠
prize	2		n.奖赏，奖金 vt.珍视
probability	1	prob	n.可能性；概率
probable	2	prob	a.或有的；大概的
procedure	1	ced	n.程序；手续；过程
proceed	1	ced	vi.进行；继续进行
process	2	ced	n.过程；工序 vt.加工
procession	1	ced	n.队伍，行列
proclaim	1	claim	vt.宣告，宣布；表明
produce	2	duc	vt.生产；产生；展现
product	2	duc	n.产品，产物；(乘)积
production	2	duc	n.生产；产品；总产量
productive	1	duc	a.生产的；丰饶的
profession	1		n.职业
professional	2		a.职业的 n.专业人员
professor	2		n.教授
profit	2	fac	n.益处；利润 vi.得益
program	2	graph	n.节目单；大纲；程序
progress	2	grad	n.前进，进展；进步
progressive	1	grad	a.进步/向前进的
prohibit	1	hab	vt.禁止，阻止
project	2	ject	n.方案，工程 vi.伸出
prominent	1		a.实起的；突出的
promise	2	mit	n.诺言；指望 vt.允诺
promising	1	mit	a.有希望的；有前途的
promote	1	mob	vt.促进，发扬；提升
prompt	1		a.及时的 vt.敦促
pronoun	1	nom	n.代名词
pronounce	2	nounc	vt.发…的音；宣布
pronunciation	2	nounc	n.发音(法)
proof	2	prob	n.证据；证明；校样
proper	2	propri	a.适合的；合乎体统的
properly	2	propri	ad.适当地；彻底地
property	2	propri	n.财产，资产；性质
proportion	1	part	n.比，比率，部分
proportional	1	part	a.比例/相称的
proposal	1	pon	n.提议，建议；求婚
propose	2	pon	vt.提议 vi.求婚
prospect	2	spec	n.展望；前景，前程
prosperity	1	sper	n.繁荣；昌盛，兴旺
prosperous	1	sper	a.繁荣的，昌盛的
protect	2	tect	vt.保护，保卫，警戒
protection	2	tect	n.保护，警戒
protective	1	tect	a.保护的，防护的
protein	1	proto	n.蛋白质，朊
protest	2	test	vt.&vi.&n.抗议
prove	2	prob	vt.证明 vi.结果是
provide	2	vid	vt.提供；装备，供给
provided	1	vid	conj.以…为条件
province	1		n.省；领域，部门
provision	1	vid	n.供应；预备；存粮
psychological	1	psych	a.心理(学)的
public	2	popul	a.公众的 n.公众
publication	1	popul	n.公布；出版(物)
publish	2	popul	vt.公布；发表；出版
pudding	2		n.布丁
puff	2		n.(一)喷，(一)吹
pulse	2	pel	n.脉搏；脉冲，脉动
pump	2		n.泵 vt.用抽机抽
punch	2	punct	vt.冲出 n.冲压机
punctual	1	punct	a.严守时刻的；准时的
punish	2	pen	vt.罚，惩罚，处罚
