sustainable	t2	tain	1	a. 可持续的；能维持的
swallow	t2		0	
swallowl	t3		0	
swamp	t2		0	
swap	t2		0	
sway	t2		0	
swear	t2		0	
sweat	t2		0	
sweater	t3		0	
sweep	t2		1	
sweet	t3		0	
swell	t2		0	
swift	t2		0	
swim	t3		0	
swimmer	t3		0	
swimming	t3		0	
swing	t2		0	
swipe	t3		0	
switch	t2		1	
sword	t3		0	
sy	t3		0	
symbol	t1		1	
symbolic	t2		0	
symmetric	t2	meter	0	
symmetry	t1	meter	1	n. 对称（性）；匀称
sympathetic	t1	pass	1	a. 同情的；赞同的
sympathize	t2	pass	0	
sympathy	t1	pass	1	
symphony	t2	phon	0	
symposium	t3		0	
symptom	t2		1	
syndicate	t3		0	
syndrome	t3		0	
synonym	t2	nom	1	n. 同义词
synthesis	t2		0	
synthesize	t2		0	
synthetic	t2		0	
system	t1	sist	1	
systematic	t2	sist	0	
systematically	t3	sist	0	
table	t3		0	
tablet	t2		1	n. 药片；碑；平板电脑
taboo	t3		0	
tack	t3		0	
tackle	t1		1	vt. 对付，处理；抓住
tact	t3	tach	0	
tactful	t3	tach	0	
tactic	t2	tach	1	n. 策略，战术
tag	t2		0	
tail	t3		0	
tailor	t2		0	
take	t3		0	
takeoff	t3		0	
tale	t3		0	
talent	t1		1	
talented	t2		0	
talk	t3		0	
talkative	t3		0	
tall	t3		0	
tame	t2		0	
tan	t3		0	
tangible	t3	tach	0	
tangle	t3		0	
tank	t3		0	
tanker	t3		0	
tap	t2		0	
tape	t3		0	
target	t1		1	n. 目标，靶子；vt. 以…为目标
tariff	t3		0	
task	t3		0	
taste	t3		0	
tasty	t3		0	
tax	t2		1	
taxation	t2		0	
taxi	t3		0	
tea	t3		0	
teach	t3		0	
teacher	t3		0	
teaching	t3		0	
team	t3		0	
tear	t3		0	
tease	t2		0	
tech	t3		0	
technical	t2	techn	1	
technician	t2	techn	0	
technique	t1	techn	1	n. 技术，技巧，手法
technological	t2	techn	0	
technology	t1	techn	1	
tedious	t2		1	
teen	t3		0	
teenager	t3		0	
telecommunications	t3	tele	0	
telegram	t2	tele	0	
telephone	t3	tele	0	
telescope	t2	tele	0	
telescopic	t3	tele	0	
television	t3	tele	0	
tell	t3		0	
teller	t3		0	
telling	t3		0	
temper	t2	temp	1	n. 脾气；心情；vt. 使缓和
temperament	t3	temp	0	
temperature	t1	temp	1	
temple	t3		0	
tempo	t3	temp	0	
temporal	t3	temp	0	
temporarily	t3	temp	0	
temporary	t1	temp	1	
tempt	t2		1	
temptation	t2		0	
ten	t3		0	
tenant	t3	tain	0	
tend	t2	tend	1	
tendency	t1	tend	1	
tender	t2		0	
tennis	t3		0	
tense	t2	tend	1	
tension	t1	tend	1	
tent	t3		0	
tentative	t3		0	
tenure	t3	tain	0	
term	t1	termin	1	
terminal	t2	termin	0	
terminate	t2	termin	1	vt. 终止，结束
termination	t3	termin	0	
terrace	t3	terr	0	
terrain	t3	terr	0	
terrible	t3		0	
terribly	t3		0	
terrific	t2		1	a. 极好的；极大的
