stunning	3		0	
stupid	3		0	
stupidity	3		0	
sturdy	2		1	a. 结实的；强健的；坚定的
style	2		0	
stylish	3		0	
subject	1	ject	1	
subjective	2	ject	1	a. 主观的；个人的
submarine	2	mar	0	
submerge	2	merg	1	vt. 淹没；使浸没
submission	3	mit	0	
submissive	3	mit	0	
submit	1	mit	1	vt. 提交，呈递；vi. 屈服，服从
subordinate	2	ord	1	a. 次要的；从属的 n. 下属
subordination	3	ord	0	
subscribe	2	scrib	1	vi. 订阅；同意；捐助
subscriber	3	scrib	0	
subscription	2	scrib	0	
subsequent	2	sequ	1	a. 随后的，后来的
subsidize	2		0	
subsidy	2		0	
subsistence	3	sist	0	
substance	1	sist	1	n. 物质；实质；主旨
substantial	2	sist	1	a. 大量的；实质的；坚固的
substitute	1	sist	1	
substitution	3	sist	0	
subtle	2		1	a. 微妙的；细微的；敏锐的
subtlety	3		0	
subtract	2	tract	1	vt. 减去，减
subtraction	3	tract	0	
suburb	2	urb	1	n. 郊区，市郊
suburban	3	urb	0	
subway	3		0	
succeed	2	ced	0	
success	2	ced	0	
successful	2	ced	0	
succession	2	ced	0	
successive	2	ced	1	a. 连续的，接连的
successor	3	ced	0	
such	3		0	
suck	3		0	
sudden	3		0	
suddenly	3		0	
sue	2		0	
suffer	2	fer	0	
suffering	3	fer	0	
suffice	3	fac	0	
sufficient	1	fac	1	a. 足够的，充分的
sugar	3		0	
suggest	2		0	
suggestion	2		0	
suggestive	3		0	
suicidal	3	cid	0	
suicide	2	cid	1	n. 自杀；自杀者
suit	3		0	
suitable	2		0	
suitcase	3		0	
suite	3		0	
sulfur	3		0	
sulphur	3		0	
sum	3		0	
summarize	2		0	
summary	2		1	n. 摘要，总结
summer	3		0	
summit	2		0	
summon	2	mon	1	vt. 召唤；召集；鼓起（勇气）
sun	3		0	
Sunday	3		0	
sunlight	3		0	
sunny	3		0	
sunrise	3		0	
sunset	3		0	
sunshine	3		0	
super	3		0	
superb	2		0	
superficial	2		1	a. 肤浅的；表面的
superintendent	3	tend	0	
superior	1		1	
superiority	3		0	
supermarket	3		0	
superstition	2	sist	0	
superstitious	3	sist	0	
supervise	2	vid	1	vt. 监督，管理；指导
supervision	3	vid	0	
supervisor	2	vid	0	
supper	3		0	
supplement	2	ple	1	n. 补充物；增刊 vt. 补充
supplementary	3	ple	0	
supplier	3	ple	0	
supply	2	ple	0	
support	2	port	0	
supporter	3	port	0	
supportive	3	port	0	
suppose	2	pon	0	
supposedly	3	pon	0	
supposition	3	pon	0	
suppress	2		1	vt. 镇压；抑制；隐瞒
suppression	3		0	
suppressive	3		0	
supremacy	3		0	
supreme	2		1	a. 最高的；至上的；极度的
sure	3		0	
surf	3		0	
surface	2		0	
surfing	3		0	
surge	2		0	
surgeon	2		0	
surgery	2		1	n. 外科手术；手术室
surgical	3		0	
surname	3		0	
surpass	2		0	
surplus	2	ple	0	
surprise	2	prehend	0	
surrender	2	don	1	vi. 投降；屈服 vt. 交出，放弃
surround	2	und	0	
surroundings	2	und	1	n. 环境，周围的事物
surveillance	3		0	
survey	2	vid	0	
survival	2	viv	1	n. 生存，幸存
survive	1	viv	1	
survivor	3	viv	0	
susceptible	2	cap	0	
suspect	1	spec	1	
suspend	2	pend	1	vt. 悬挂；暂停；使暂时停职
suspense	2	pend	0	
suspension	2	pend	0	
suspicion	2	spec	1	n. 怀疑，猜疑
suspicious	2	spec	1	a. 可疑的；多疑的，怀疑的
sustain	2	tain	1	vt. 维持；支撑；承受
sustainability	3	tain	0	
