sex		0	
sexual		0	
shabby		0	破旧的；卑鄙的；吝啬的；低劣的
shatter		0	
shed		0	
shield		1	vt. 保护，遮蔽；n. 盾，护板
shortage		1	n. 缺乏，缺少；不足
shrink		1	vi. 收缩；退缩；畏缩
shrug		1	v. 耸肩；n. 耸肩
signature	sign	1	n. 签名，署名；特征
significance	sign	1	n. 意义，重要性；显著性
signify	sign	0	
similarity	sembl	1	n. 类似；相似点
singular		0	
sleeve		0	
slightly		0	
social	soci	1	n. 联谊会；联欢会；adj. 社会的，社交的；群居的
solar	sol	1	太阳的；日光的；利用太阳光的；与太阳相关的；日光浴室
soothe		1	vt. 安慰，抚慰；缓和，减轻
sophisticated		1	adj. 复杂精密的；老练的，世故的
sorrow		1	n. 悲伤，悲痛；伤心事
sound		0	vi. 听起来,发出声音 n. 声音
space		0	n. 空间
span		1	n. 跨度，间距；一段时间；vt. 横跨，跨越
spare		1	adj. 多余的，备用的；vt. 抽出，让给；饶恕
spark	spir	0	
spatial		0	
spectacular	spec	1	adj. 壮观的，惊人的；n. 壮观的场面
speed		0	n. 速度 v.（使）加速
spine		0	
spiral	spir	0	
splendid		0	a. 灿烂的，辉煌的；（口语）极好的
sprawl		0	
spur		1	n. 刺激，激励；马刺；vt. 激励，鞭策
squeeze		0	
stability	sist	1	n. 稳定，稳固
stagnant		0	
stale		0	
stall		0	
stammer		0	
staple		1	adj. 主要的，基本的；n. 主要产品；订书钉
starvation		1	n. 饥饿；饿死
statesman	sist	0	政治家；国务活动家
static	sist	1	adj. 静态的，静力的；n. 静电
stationary	sist	1	adj. 静止的，固定的；不变的
statistic	sist	1	n. 统计数字，统计资料
statute	sist	0	
steadily		0	
steer		0	
stern		1	adj. 严厉的，严格的；严峻的
steward		0	管家；乘务员；膳务员；工会管事；当服务员；当管事；管理
sting		1	v. 刺，蜇；刺痛；n. 刺，刺痛
stir		0	
stitch		0	
straightforward		1	adj. 直接的，坦率的；易懂的
strand		0	
stray		0	
streak		0	
strengthen		0	
stride		0	
striking		1	adj. 显著的，引人注目的；惊人的
strip		1	vt. 剥去，剥夺；n. 条，带
strive		1	vi. 努力，奋斗；力求
structural	stru	1	adj. 结构的，构造的
stubborn		0	
studio	stud	0	
stuff		0	
stumble		1	vi. 绊倒；蹒跚；偶然发现
style		0	
submarine	mar	1	n. 潜艇；adj. 海底的，水下的
subscription	scrib	1	n. 订阅，订阅费；捐款
subsidize		0	
subsidy		1	n. 补贴，津贴；补助金
succeed	ced	1	vi. 成功
success	ced	0	n. 成功
successful	ced	0	a. 成功的,有成就的
succession	ced	1	n. 连续，接续；一系列；（王位等的）继承
sue		1	vt. 控告，起诉；vi. 提出诉讼
suffer	fer	0	vi. 遭受，忍受；受痛苦；经验；受损害；vt. 遭受；忍受；经历
suggest		0	vt. 建议，提议
suggestion		0	n. 建议
suitable		0	
summarize		0	
summit		1	n. 顶点，峰顶；（首脑）会议
superb		1	adj. 极好的，卓越的
superstition	sist	1	n. 迷信，迷信行为
supervisor	vid	0	
supply	ple	0	vt.& n. 供给，供应
support	port	0	n. 支持，维持；支援，供养；支持者，支撑物；vt. 支持，支撑，支援；扶持，帮助；赡养，供养
suppose	pon	0	vt. 猜想,假定,料想
surface		0	
surge		1	vi. 汹涌，涌动；激增；n. 汹涌；激增
surgeon		1	n. 外科医生
surpass		1	vt. 超过，胜过，优于
surplus	ple	1	n. 剩余，盈余；adj. 过剩的，剩余的
surprise	prehend	0	vt. 使惊奇,使诧异 n. 惊奇,诧异
surround	und	0	围绕；包围；围绕物；环绕立体声的
survey	vid	1	n. 调查；测量；审视；纵览；vt. 调查；勘测；俯瞰；vi. 测量土地
susceptible	cap	0	
suspense	pend	1	n. 悬念，悬疑；焦虑，担心
suspension	pend	0	悬浮；暂停；停职
swallow		0	
swamp		0	
swap		0	
sway		1	v. 摇摆，摇动；n. 摇摆；支配，影响
swear		0	
sweat		0	
swell		0	
swift		1	adj. 迅速的，快的；敏捷的
swing		0	vt. 挥舞，摆动 n. 秋千
symbolic		1	adj. 象征的，象征性的；有象征意义的
symmetric	meter	0	
sympathize	pass	0	
symphony	phon	1	n. 交响乐，交响曲
synthesis		1	n. 综合，合成；综合体
synthesize		0	
synthetic		0	
systematic	sist	1	adj. 系统的，有条理的；有系统的
tag		0	n.附加语;标签
tailor		0	n.裁缝vt.裁制衣服
talented		0	
tame		0	a.驯服的;顺从的
tap		0	vt.&vi.&n.轻叩；n.塞子;龙头vt.开发
taxation		0	
tease		0	取笑；戏弄；梳理；欺负；强求；使起毛；戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
technician	techn	0	n.技术员，技师
technological	techn	0	
telegram	tele	0	n.电报
telescope	tele	0	n.望远镜
temptation		1	n.诱惑，引诱
