scene			
schedule			
scheme			
scholarship			
scold			
scorn			
screen			
seaport			
search	circ		
seek			
seize			
seldom			
selfish			
senior			
series			
setting			
settle			
settlement			
severe			
shallow			
shelter			
shield			
shift			
shock			
shortage			
shrink			
shrug			
shuttle			
sincere			
site			
situation			
skeleton			
skim			
skip			
slender			
slight			
slippery			
solemn			
soothe			
sophisticated	soph		
sorrow			
source			
span			
spare			
spend	pend		
sphere	spher		
sponsor			
spontaneous			
spot			
spouse			
spray			
spur			
square			
staff			
stake			
stalk			
stance	sist		
standard			
standpoint			
staple			
stark			
startle			
starvation			
starve			
stationery	sist		
steady			
steep			
stem			
stern			
sticky			
stiff			
stimulate			
stimulus			
sting			
stock			
storage			
straightforward			
strategic			
strategy			
strength			
strike			
striking			
strip			
strive			
stroke			
stumble			
stun			
sturdy			
subsidy	sed		
subtle			
sue	sequ		
summary			
summit			
superb			
superficial			
superior			
suppress			
supreme			
surge			
surgeon			
surgery			
surpass	pass		
sway			
sweep			
swift			
switch			
symbol	syn		
symbolic	syn		
symptom	syn		
synthesis	syn		
tablet			
tackle			
talent			
target			
tax			
tedious			
tempt	tend		
temptation	tend		
terrific			
terror			
