plane			
planet			
plastic			
plate			
plot			
plug			
plunge			
poem			
poet			
poetry			
poison			
pole			
polish			
polite	polit		
pollute			
pollution			
port			
pour			
poverty			
practical			
practice			
precaution			
precious			
preliminary			
presence			
present			
press			
pressure			
print			
prior	prim		
profession			
professional			
prominent	min		
prompt			
province			
qualify			
quality			
quantity			
quarrel			
queue			
quicken			
quilt			
quit			
quiz			
rage			
railway			
raise			
range			
rank			
rapid			
rate			
reality			
realize			
reasonable			
rebel			
rebellion			
recall			
recommend			
record	cor		
recover			
recovery			
refresh			
refrigerator			
refute			
regard			
regret			
relax			
release			
reliable			
reluctant			
rely			
remain			
remark			
remarkable			
remedy			
represent			
representative			
reputation	put		
rescue			
research			
resort			
resource			
respond			
response			
responsibility			
responsible			
restaurant			
retire			
return	tort		
reveal			
reward			
rhythm			
ripe			
risk			
rival			
robbery			
role			
roller			
rot			
rough			
rouse			
route	rupt		
routine			
rubber			
rubbish			
ruin			
rumour			
rural			
rust			
rusty			
saddle	sed		
salary			
sample			
satellite			
sauce			
scale			
scan			
scarce			
scarcely			
scatter			
